Experiment Log Started

========================================
Running Architecture: ConvNeXt + Baseline
========================================
  > Split: 10% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
Error in run: Given groups=1, weight of size [6, 96, 1, 1], expected input[16, 192, 1, 1] to have 96 channels, but got 192 channels instead
  > Split: 10% | Seed: 10 ...
    Loss Function: CrossEntropyLoss()
    Epoch 7/25 | Train Loss: 0.0041 | Train Acc: 100.00%
Error in run: Given groups=1, weight of size [6, 96, 1, 1], expected input[16, 192, 1, 1] to have 96 channels, but got 192 channels instead
  > Split: 10% | Seed: 20 ...
    Loss Function: CrossEntropyLoss()
Error in run: Given groups=1, weight of size [6, 96, 1, 1], expected input[16, 192, 1, 1] to have 96 channels, but got 192 channels instead
  > Split: 10% | Seed: 30 ...
    Loss Function: CrossEntropyLoss()
Error in run: Given groups=1, weight of size [6, 96, 1, 1], expected input[16, 192, 1, 1] to have 96 channels, but got 192 channels instead
  > Split: 10% | Seed: 40 ...
    Loss Function: CrossEntropyLoss()
Error in run: Given groups=1, weight of size [6, 96, 1, 1], expected input[16, 192, 1, 1] to have 96 channels, but got 192 channels instead
RESULT | CBAM | Split 10% | Acc: 0.0000 (+/- 0.0000) | Recall: nan
  > Split: 20% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
Error in run: Given groups=1, weight of size [6, 96, 1, 1], expected input[16, 192, 1, 1] to have 96 channels, but got 192 channels instead
RESULT | CBAM | Split 20% | Acc: 0.0000 (+/- 0.0000) | Recall: nan
  > Split: 50% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
Error in run: Given groups=1, weight of size [6, 96, 1, 1], expected input[16, 192, 1, 1] to have 96 channels, but got 192 channels instead
RESULT | CBAM | Split 50% | Acc: 0.0000 (+/- 0.0000) | Recall: nan
  > Split: 80% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
Error in run: Given groups=1, weight of size [6, 96, 1, 1], expected input[16, 192, 1, 1] to have 96 channels, but got 192 channels instead
RESULT | CBAM | Split 80% | Acc: 0.0000 (+/- 0.0000) | Recall: nan

========================================
Running Architecture: ConvNeXt + ECA
========================================
  > Split: 10% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
    Epoch 8/25 | Train Loss: 0.0021 | Train Acc: 100.00%
    Epoch 1/25 | Train Loss: 0.7269 | Train Acc: 53.09%
    Epoch 2/25 | Train Loss: 0.7268 | Train Acc: 53.09%
    Epoch 9/25 | Train Loss: 0.0019 | Train Acc: 100.00%
    Epoch 3/25 | Train Loss: 0.7229 | Train Acc: 48.15%
    Epoch 4/25 | Train Loss: 0.6875 | Train Acc: 56.79%
    Epoch 10/25 | Train Loss: 0.0025 | Train Acc: 100.00%
    Epoch 5/25 | Train Loss: 0.7374 | Train Acc: 43.21%
    Epoch 6/25 | Train Loss: 0.7079 | Train Acc: 44.44%
    Epoch 11/25 | Train Loss: 0.0019 | Train Acc: 100.00%
    Epoch 7/25 | Train Loss: 0.7380 | Train Acc: 40.74%
    Epoch 12/25 | Train Loss: 0.0010 | Train Acc: 100.00%
    Epoch 8/25 | Train Loss: 0.6895 | Train Acc: 54.32%
    Epoch 9/25 | Train Loss: 0.7327 | Train Acc: 43.21%
    Epoch 13/25 | Train Loss: 0.0008 | Train Acc: 100.00%
    Epoch 10/25 | Train Loss: 0.6885 | Train Acc: 49.38%
    Epoch 11/25 | Train Loss: 0.7023 | Train Acc: 46.91%
    Epoch 14/25 | Train Loss: 0.0006 | Train Acc: 100.00%
    Epoch 12/25 | Train Loss: 0.6808 | Train Acc: 54.32%
    Epoch 13/25 | Train Loss: 0.6120 | Train Acc: 61.73%
    Epoch 15/25 | Train Loss: 0.0007 | Train Acc: 100.00%
    Epoch 14/25 | Train Loss: 0.4314 | Train Acc: 83.95%
    Epoch 15/25 | Train Loss: 0.4744 | Train Acc: 79.01%
    Epoch 16/25 | Train Loss: 0.0005 | Train Acc: 100.00%
    Epoch 16/25 | Train Loss: 0.3318 | Train Acc: 83.95%
    Epoch 17/25 | Train Loss: 0.0005 | Train Acc: 100.00%
    Epoch 17/25 | Train Loss: 0.2288 | Train Acc: 90.12%
    Epoch 18/25 | Train Loss: 0.1202 | Train Acc: 96.30%
    Epoch 18/25 | Train Loss: 0.0007 | Train Acc: 100.00%
    Epoch 19/25 | Train Loss: 0.4614 | Train Acc: 82.72%
    Epoch 20/25 | Train Loss: 0.4636 | Train Acc: 81.48%
    Epoch 19/25 | Train Loss: 0.0004 | Train Acc: 100.00%
    Epoch 21/25 | Train Loss: 0.2811 | Train Acc: 82.72%
    Epoch 22/25 | Train Loss: 0.1514 | Train Acc: 97.53%
    Epoch 20/25 | Train Loss: 0.0004 | Train Acc: 100.00%
    Epoch 23/25 | Train Loss: 0.1694 | Train Acc: 92.59%
    Epoch 24/25 | Train Loss: 0.0508 | Train Acc: 98.77%
    Epoch 21/25 | Train Loss: 0.0004 | Train Acc: 100.00%
    Epoch 25/25 | Train Loss: 0.0308 | Train Acc: 100.00%
  > Split: 10% | Seed: 10 ...
    Loss Function: CrossEntropyLoss()
    Epoch 22/25 | Train Loss: 0.0008 | Train Acc: 100.00%
    Epoch 1/25 | Train Loss: 0.7231 | Train Acc: 50.62%
    Epoch 2/25 | Train Loss: 0.8007 | Train Acc: 38.27%
    Epoch 23/25 | Train Loss: 0.0005 | Train Acc: 100.00%
    Epoch 3/25 | Train Loss: 0.7080 | Train Acc: 54.32%
    Epoch 24/25 | Train Loss: 0.0011 | Train Acc: 100.00%
    Epoch 4/25 | Train Loss: 0.7282 | Train Acc: 50.62%
    Epoch 5/25 | Train Loss: 0.7045 | Train Acc: 53.09%
    Epoch 25/25 | Train Loss: 0.0005 | Train Acc: 100.00%
    Epoch 6/25 | Train Loss: 0.6959 | Train Acc: 51.85%
RESULT | Baseline | Split 20% | Acc: 0.9220 (+/- 0.0000) | Recall: 0.9244
  > Split: 50% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
    Epoch 7/25 | Train Loss: 0.6834 | Train Acc: 49.38%
    Epoch 8/25 | Train Loss: 0.6568 | Train Acc: 65.43%
    Epoch 9/25 | Train Loss: 0.6613 | Train Acc: 55.56%
    Epoch 10/25 | Train Loss: 0.6773 | Train Acc: 61.73%
    Epoch 1/25 | Train Loss: 0.3651 | Train Acc: 84.31%
    Epoch 11/25 | Train Loss: 0.6553 | Train Acc: 59.26%
    Epoch 12/25 | Train Loss: 0.4501 | Train Acc: 81.48%
    Epoch 13/25 | Train Loss: 0.2751 | Train Acc: 90.12%
    Epoch 14/25 | Train Loss: 0.3049 | Train Acc: 86.42%
    Epoch 15/25 | Train Loss: 0.0803 | Train Acc: 98.77%
    Epoch 2/25 | Train Loss: 0.0756 | Train Acc: 97.30%
    Epoch 16/25 | Train Loss: 0.1643 | Train Acc: 93.83%
    Epoch 17/25 | Train Loss: 0.0578 | Train Acc: 97.53%
    Epoch 18/25 | Train Loss: 0.0339 | Train Acc: 98.77%
    Epoch 19/25 | Train Loss: 0.4675 | Train Acc: 82.72%
    Epoch 3/25 | Train Loss: 0.0559 | Train Acc: 98.04%
    Epoch 20/25 | Train Loss: 0.1421 | Train Acc: 92.59%
    Epoch 21/25 | Train Loss: 0.0776 | Train Acc: 97.53%
    Epoch 22/25 | Train Loss: 0.1676 | Train Acc: 91.36%
    Epoch 23/25 | Train Loss: 0.0401 | Train Acc: 98.77%
    Epoch 4/25 | Train Loss: 0.0189 | Train Acc: 99.51%
    Epoch 24/25 | Train Loss: 0.0262 | Train Acc: 98.77%
    Epoch 25/25 | Train Loss: 0.0058 | Train Acc: 100.00%
  > Split: 10% | Seed: 20 ...
    Loss Function: CrossEntropyLoss()
    Epoch 1/25 | Train Loss: 0.7280 | Train Acc: 45.68%
    Epoch 2/25 | Train Loss: 0.7506 | Train Acc: 48.15%
    Epoch 5/25 | Train Loss: 0.0056 | Train Acc: 100.00%
    Epoch 3/25 | Train Loss: 0.7134 | Train Acc: 53.09%
    Epoch 4/25 | Train Loss: 0.6880 | Train Acc: 55.56%
    Epoch 5/25 | Train Loss: 0.6844 | Train Acc: 48.15%
    Epoch 6/25 | Train Loss: 0.7220 | Train Acc: 49.38%
    Epoch 6/25 | Train Loss: 0.0027 | Train Acc: 100.00%
    Epoch 7/25 | Train Loss: 0.6829 | Train Acc: 61.73%
    Epoch 8/25 | Train Loss: 0.7799 | Train Acc: 40.74%
    Epoch 9/25 | Train Loss: 0.7294 | Train Acc: 51.85%
    Epoch 10/25 | Train Loss: 0.7139 | Train Acc: 54.32%
    Epoch 7/25 | Train Loss: 0.0021 | Train Acc: 100.00%
    Epoch 11/25 | Train Loss: 0.6763 | Train Acc: 58.02%
    Epoch 12/25 | Train Loss: 0.6472 | Train Acc: 64.20%
    Epoch 13/25 | Train Loss: 0.6276 | Train Acc: 64.20%
    Epoch 14/25 | Train Loss: 0.5916 | Train Acc: 65.43%
    Epoch 8/25 | Train Loss: 0.0011 | Train Acc: 100.00%
    Epoch 15/25 | Train Loss: 0.6213 | Train Acc: 65.43%
    Epoch 16/25 | Train Loss: 0.5267 | Train Acc: 80.25%
    Epoch 17/25 | Train Loss: 0.4005 | Train Acc: 81.48%
