Experiment Log Started

========================================
Running Architecture: ResNet50 + Baseline
========================================
  > Split: 10% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
    Epoch 18/25 | Train Loss: 0.0038 | Train Acc: 100.00%
    Epoch 19/25 | Train Loss: 0.0034 | Train Acc: 100.00%
    Epoch 20/25 | Train Loss: 0.0028 | Train Acc: 100.00%
    Epoch 21/25 | Train Loss: 0.0214 | Train Acc: 99.39%
    Epoch 22/25 | Train Loss: 0.0132 | Train Acc: 99.39%
    Epoch 23/25 | Train Loss: 0.0520 | Train Acc: 98.77%
    Epoch 24/25 | Train Loss: 0.0369 | Train Acc: 98.77%
    Epoch 25/25 | Train Loss: 0.0202 | Train Acc: 99.39%
RESULT | Baseline | Split 20% | Acc: 0.8439 (+/- 0.0000) | Recall: 0.8406
  > Split: 50% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
    Epoch 1/25 | Train Loss: 0.5795 | Train Acc: 72.06%
    Epoch 2/25 | Train Loss: 0.2544 | Train Acc: 97.30%
    Epoch 3/25 | Train Loss: 0.0699 | Train Acc: 99.26%
    Epoch 4/25 | Train Loss: 0.0468 | Train Acc: 99.26%
    Epoch 5/25 | Train Loss: 0.0292 | Train Acc: 99.26%
    Epoch 6/25 | Train Loss: 0.0181 | Train Acc: 99.75%
    Epoch 7/25 | Train Loss: 0.0109 | Train Acc: 99.75%
    Epoch 8/25 | Train Loss: 0.0108 | Train Acc: 100.00%
    Epoch 9/25 | Train Loss: 0.0071 | Train Acc: 100.00%
    Epoch 10/25 | Train Loss: 0.0137 | Train Acc: 99.51%
    Epoch 11/25 | Train Loss: 0.0197 | Train Acc: 99.51%
    Epoch 12/25 | Train Loss: 0.0188 | Train Acc: 99.51%
    Epoch 13/25 | Train Loss: 0.0251 | Train Acc: 99.26%
    Epoch 14/25 | Train Loss: 0.0092 | Train Acc: 100.00%
    Epoch 15/25 | Train Loss: 0.0068 | Train Acc: 100.00%
    Epoch 16/25 | Train Loss: 0.0049 | Train Acc: 100.00%
    Epoch 17/25 | Train Loss: 0.0053 | Train Acc: 100.00%
    Epoch 18/25 | Train Loss: 0.0036 | Train Acc: 100.00%
